Date,Price,Volume,ticker
2020-06-10 05:06:28.914111,101.14147089825815,4455040,DUMMY
2020-06-11 05:06:28.914111,102.01967674071412,1342744,DUMMY
2020-06-12 05:06:28.914111,102.36922197183809,1215349,DUMMY
2020-06-15 05:06:28.914111,103.04552286631419,8146569,DUMMY
2020-06-16 05:06:28.914111,102.16022130539716,3309492,DUMMY
2020-06-17 05:06:28.914111,101.04666957045922,9164248,DUMMY
2020-06-18 05:06:28.914111,101.16918289151575,5799571,DUMMY
2020-06-19 05:06:28.914111,100.67085024684404,6542095,DUMMY
2020-06-22 05:06:28.914111,100.21778190388063,6523643,DUMMY
2020-06-23 05:06:28.914111,99.02563990767645,9643377,DUMMY
2020-06-24 05:06:28.914111,101.37055798002628,7402383,DUMMY
2020-06-25 05:06:28.914111,100.77744394884044,1960314,DUMMY
2020-06-26 05:06:28.914111,100.79910421328672,4068193,DUMMY
2020-06-29 05:06:28.914111,98.9251803002292,6912907,DUMMY
2020-06-30 05:06:28.914111,98.91971714101712,9027168,DUMMY
2020-07-01 05:06:28.914111,99.75888037165676,7809103,DUMMY
2020-07-02 05:06:28.914111,99.7292075303757,5880303,DUMMY
2020-07-03 05:06:28.914111,101.15521808206927,1936750,DUMMY
2020-07-06 05:06:28.914111,100.10620801084781,2779404,DUMMY
2020-07-07 05:06:28.914111,100.12798212569724,7009346,DUMMY
2020-07-08 05:06:28.914111,101.41076903505915,8651464,DUMMY
2020-07-09 05:06:28.914111,102.32126505329023,7016147,DUMMY
2020-07-10 05:06:28.914111,101.69505551806476,6935258,DUMMY
2020-07-13 05:06:28.914111,102.35315531602245,8612593,DUMMY
2020-07-14 05:06:28.914111,101.83111382488947,4665253,DUMMY
2020-07-15 05:06:28.914111,101.90695886432586,5571086,DUMMY
2020-07-16 05:06:28.914111,101.28715522821498,1969774,DUMMY
2020-07-17 05:06:28.914111,102.27118471955721,7165206,DUMMY
2020-07-20 05:06:28.914111,102.84696221857378,8092992,DUMMY
2020-07-21 05:06:28.914111,102.85650793571273,2370224,DUMMY
2020-07-22 05:06:28.914111,101.64181528539716,7503165,DUMMY
2020-07-23 05:06:28.914111,100.93716376940017,3097424,DUMMY
2020-07-24 05:06:28.914111,102.2645400827323,9201150,DUMMY
2020-07-27 05:06:28.914111,102.23423839358523,2299847,DUMMY
2020-07-28 05:06:28.914111,102.02861355573268,6610356,DUMMY
2020-07-29 05:06:28.914111,102.39998479565165,1012432,DUMMY
2020-07-30 05:06:28.914111,104.75099026464359,1323265,DUMMY
2020-07-31 05:06:28.914111,105.09379993178382,6902922,DUMMY
2020-08-03 05:06:28.914111,108.09456834135061,3163182,DUMMY
2020-08-04 05:06:28.914111,107.93128050988759,4179322,DUMMY
2020-08-05 05:06:28.914111,107.65864318473251,4463964,DUMMY
2020-08-06 05:06:28.914111,109.941374355742,4543716,DUMMY
2020-08-07 05:06:28.914111,108.41475476592547,2954541,DUMMY
2020-08-10 05:06:28.914111,109.74153113173513,8333036,DUMMY
2020-08-11 05:06:28.914111,108.83826027894104,3641183,DUMMY
2020-08-12 05:06:28.914111,109.34429483801532,2253000,DUMMY
2020-08-13 05:06:28.914111,110.47129761851166,9754648,DUMMY
2020-08-14 05:06:28.914111,107.74507426918433,9849986,DUMMY
2020-08-17 05:06:28.914111,108.36200921049809,6101976,DUMMY
2020-08-18 05:06:28.914111,106.75165721287968,5300303,DUMMY
2020-08-19 05:06:28.914111,106.57400049207187,8731098,DUMMY
2020-08-20 05:06:28.914111,107.36992781407189,8139951,DUMMY
2020-08-21 05:06:28.914111,107.16385346247233,9527804,DUMMY
2020-08-24 05:06:28.914111,106.40452663467134,9453647,DUMMY
2020-08-25 05:06:28.914111,107.05508684262863,8383353,DUMMY
2020-08-26 05:06:28.914111,107.15303011338474,3662417,DUMMY
2020-08-27 05:06:28.914111,108.37356834717961,3874625,DUMMY
2020-08-28 05:06:28.914111,107.84262733931254,1993835,DUMMY
2020-08-31 05:06:28.914111,109.07481848488102,8477930,DUMMY
2020-09-01 05:06:28.914111,107.63810109818998,7925745,DUMMY
2020-09-02 05:06:28.914111,107.13592495455906,7923615,DUMMY
2020-09-03 05:06:28.914111,108.58882028219199,8102525,DUMMY
2020-09-04 05:06:28.914111,109.33570517832922,4106969,DUMMY
2020-09-07 05:06:28.914111,108.62915980479613,7726676,DUMMY
2020-09-08 05:06:28.914111,109.17216189103783,4405485,DUMMY
2020-09-09 05:06:28.914111,109.5440175013168,7622845,DUMMY
2020-09-10 05:06:28.914111,109.27341822924971,8165062,DUMMY
2020-09-11 05:06:28.914111,108.29024654336165,3550480,DUMMY
